PointCount: 2009

Point 0: X: 104, Y: 345, Depth: -1
Point 1: X: 119, Y: 320, Depth: -1
Point 2: X: 99, Y: 332, Depth: -1
Point 3: X: 765, Y: 213, Depth: 12.4101
Point 4: X: 744, Y: 228, Depth: -1
Point 5: X: 454, Y: 303, Depth: 9.00078
Point 6: X: 432, Y: 307, Depth: -1
Point 7: X: 458, Y: 291, Depth: -1
Point 8: X: 444, Y: 275, Depth: 11.0137
Point 9: X: 528, Y: 101, Depth: -1
Point 10: X: 522, Y: 98, Depth: -1
Point 11: X: 542, Y: 79, Depth: -1
Point 12: X: 225, Y: 218, Depth: -1
Point 13: X: 208, Y: 215, Depth: -1
Point 14: X: 237, Y: 195, Depth: 14.4025
Point 15: X: 217, Y: 199, Depth: 0
Point 16: X: 576, Y: 237, Depth: 17.712
Point 17: X: 549, Y: 237, Depth: 18.2125
Point 18: X: 39, Y: 344, Depth: -1
Point 19: X: 22, Y: 346, Depth: -1
Point 20: X: 37, Y: 328, Depth: -1
Point 21: X: 29, Y: 333, Depth: -1
Point 22: X: 1064, Y: 38, Depth: -1
Point 23: X: 1044, Y: 50, Depth: -1
Point 24: X: 1057, Y: 34, Depth: -1
Point 25: X: 1051, Y: 26, Depth: -1
Point 26: X: 1073, Y: 85, Depth: 6.42741
Point 27: X: 1051, Y: 83, Depth: -1
Point 28: X: 1061, Y: 80, Depth: -1
Point 29: X: 1051, Y: 60, Depth: -1
Point 30: X: 393, Y: 227, Depth: 17.8466
Point 31: X: 364, Y: 211, Depth: 22.7358
Point 32: X: 389, Y: 209, Depth: 25.38
Point 33: X: 359, Y: 189, Depth: 0
Point 34: X: 230, Y: 311, Depth: -1
Point 35: X: 222, Y: 315, Depth: -1
Point 36: X: 237, Y: 275, Depth: 12.0292
Point 37: X: 220, Y: 280, Depth: -1
Point 38: X: 614, Y: 56, Depth: -1
Point 39: X: 611, Y: 22, Depth: -1
Point 40: X: 762, Y: 129, Depth: -1
Point 41: X: 747, Y: 125, Depth: -1
Point 42: X: 747, Y: 119, Depth: -1
Point 43: X: 377, Y: 143, Depth: -1
Point 44: X: 368, Y: 138, Depth: -1
Point 45: X: 391, Y: 115, Depth: -1
Point 46: X: 360, Y: 114, Depth: -1
Point 47: X: 279, Y: 214, Depth: 13.3258
Point 48: X: 244, Y: 213, Depth: 12.4599
Point 49: X: 263, Y: 193, Depth: 18.807
Point 50: X: 249, Y: 197, Depth: -1
Point 51: X: 204, Y: 90, Depth: -1
Point 52: X: 192, Y: 76, Depth: -1
Point 53: X: 181, Y: 71, Depth: -1
Point 54: X: 312, Y: 183, Depth: 31.0508
Point 55: X: 317, Y: 162, Depth: -1
Point 56: X: 294, Y: 166, Depth: 29.5156
Point 57: X: 582, Y: 306, Depth: 8.21892
Point 58: X: 555, Y: 312, Depth: 0.870494
Point 59: X: 575, Y: 282, Depth: 9.96129
